livestockType,productionType,productionSystem,numberOfAnimals,cycleDuration,location,housingType,vaccinationProgram,vetServiceFrequency,medicationIntensity,feedPrice,laborCost,electricityCost,totalCostEstimation
poultry,broiler,battery cage,76,71,South-West,premium,intensive,monthly,medium,20795,13144,15952,108686
poultry,layer,battery cage,32,13,South-West,standard,minimal,quarterly,high,24485,84708,19392,169070
poultry,broiler,battery cage,500,37,South-East,premium,intensive,quarterly,medium,36798,82766,19949,426311
cattle,dairy,extensive,377,28,North-Central,premium,standard,weekly,medium,43049,81375,22257,378230
cattle,dairy,semi-intensive,431,12,South-West,premium,standard,quarterly,low,32414,94249,25316,399893
cattle,dairy,intensive,159,34,South-East,premium,minimal,weekly,medium,42402,94690,20173,279167
poultry,broiler,battery cage,120,28,South-East,standard,intensive,quarterly,medium,38991,61703,12735,212420
cattle,beef,semi-intensive,43,33,South-East,premium,intensive,quarterly,high,45176,65726,12411,189989
cattle,beef,semi-intensive,302,28,North-West,premium,minimal,monthly,low,30921,89661,27394,329897
cattle,beef,intensive,445,20,South-West,premium,minimal,weekly,high,49488,19289,24670,365435
poultry,layer,intensive,366,30,South-West,premium,standard,weekly,medium,36427,96489,14107,366450
poultry,layer,deep litter,65,58,North-West,standard,standard,weekly,low,24760,65995,7234,155249
cattle,beef,semi-intensive,202,21,North-West,premium,standard,quarterly,low,28262,18982,16998,193504
cattle,dairy,intensive,348,30,South-East,basic,intensive,weekly,low,31879,99131,27715,364604
poultry,layer,battery cage,150,9,North-Central,standard,standard,weekly,high,39529,98790,12629,265477
poultry,layer,intensive,483,45,North-West,standard,minimal,quarterly,high,18434,55112,17302,350782
poultry,layer,intensive,228,41,North-West,premium,standard,quarterly,medium,35344,85227,9295,279210
cattle,dairy,extensive,279,20,North-Central,basic,minimal,quarterly,high,33947,25817,18028,251239
poultry,layer,intensive,304,50,North-West,premium,standard,quarterly,medium,16476,33090,19246,237288
poultry,layer,deep litter,76,25,South-East,basic,intensive,quarterly,high,44149,29400,8527,164225
cattle,dairy,semi-intensive,332,19,North-Central,premium,intensive,quarterly,low,24064,75549,28101,317778
poultry,layer,battery cage,77,73,North-Central,premium,minimal,quarterly,medium,32578,80523,5067,189246
poultry,layer,deep litter,469,32,North-West,basic,intensive,monthly,low,21675,94208,19853,391911
poultry,layer,battery cage,44,71,South-West,premium,intensive,monthly,low,16348,47788,8822,111306
poultry,layer,intensive,49,19,North-West,basic,standard,quarterly,high,34772,75679,16897,186620
poultry,broiler,intensive,440,22,South-West,premium,standard,weekly,high,37268,78720,16161,389417
poultry,broiler,deep litter,383,9,North-Central,basic,minimal,monthly,medium,23299,68091,19180,325369
cattle,beef,intensive,91,29,South-East,premium,intensive,monthly,low,49448,61757,8282,214435
cattle,dairy,semi-intensive,212,29,South-West,premium,standard,monthly,medium,35942,53750,13565,245199
cattle,dairy,semi-intensive,419,32,North-Central,basic,minimal,monthly,medium,25226,75451,26854,362257
cattle,beef,semi-intensive,244,13,North-West,premium,standard,weekly,low,28930,92967,12725,285552
poultry,broiler,deep litter,360,18,North-West,basic,minimal,quarterly,low,25918,95752,17166,344754
cattle,beef,extensive,274,16,South-East,basic,minimal,monthly,medium,35960,48741,24454,282115
cattle,beef,intensive,61,18,South-West,premium,intensive,weekly,high,41900,89686,21851,225837
poultry,broiler,intensive,17,19,South-East,basic,intensive,monthly,high,49192,59877,26411,193172
poultry,broiler,battery cage,435,56,North-West,premium,standard,monthly,low,19311,16678,24349,297149
poultry,broiler,deep litter,80,14,South-West,standard,intensive,weekly,high,32342,94033,5946,204663
poultry,broiler,battery cage,285,42,North-West,basic,minimal,weekly,medium,24723,41243,19099,252288
poultry,layer,intensive,232,24,South-East,basic,minimal,monthly,high,32976,15790,28003,225745
poultry,broiler,deep litter,499,66,South-West,standard,intensive,monthly,medium,39869,28928,18775,376941
cattle,beef,intensive,355,22,South-West,premium,minimal,monthly,high,33074,61029,11047,315724
poultry,broiler,intensive,381,37,North-Central,premium,intensive,monthly,medium,19031,16954,9885,255401
cattle,beef,semi-intensive,207,30,North-Central,premium,intensive,monthly,low,44124,10671,6036,208455
cattle,dairy,extensive,199,22,South-East,premium,intensive,monthly,medium,46855,28405,17294,238909
poultry,layer,battery cage,122,71,North-West,standard,intensive,monthly,medium,16558,47628,10821,152565
poultry,broiler,battery cage,428,70,South-West,standard,standard,monthly,high,17961,23513,25505,298940
cattle,dairy,semi-intensive,69,29,South-West,standard,intensive,quarterly,low,43635,79401,12965,214136
poultry,broiler,intensive,190,79,South-East,premium,minimal,weekly,medium,32937,22619,12820,196313
cattle,dairy,semi-intensive,145,35,North-West,basic,intensive,quarterly,medium,44713,92789,25378,280093
cattle,beef,intensive,262,31,North-West,premium,minimal,weekly,medium,26527,63354,28796,276204
cattle,dairy,extensive,284,16,South-West,premium,intensive,quarterly,high,28859,98802,22674,321194
poultry,broiler,deep litter,31,75,South-West,premium,intensive,quarterly,low,20485,28584,10793,95847
cattle,dairy,intensive,75,15,South-West,basic,intensive,quarterly,high,37351,14615,19905,146722
cattle,dairy,extensive,157,19,North-Central,standard,standard,quarterly,high,39679,65562,9593,233013
cattle,beef,semi-intensive,357,17,South-East,standard,standard,weekly,low,48828,60017,16391,352564
cattle,dairy,extensive,155,36,South-East,basic,minimal,quarterly,high,37858,71449,8016,232681
cattle,beef,semi-intensive,113,18,South-East,premium,minimal,weekly,medium,49976,66748,5772,228972
poultry,broiler,intensive,447,54,South-East,standard,intensive,quarterly,medium,48633,87915,24153,432834
cattle,beef,semi-intensive,102,12,North-Central,premium,minimal,weekly,low,23470,41288,8375,147603
poultry,layer,deep litter,330,20,South-West,standard,intensive,quarterly,medium,23654,70086,6573,288967
cattle,dairy,semi-intensive,241,28,North-West,basic,minimal,monthly,high,37669,48273,14702,258813
cattle,dairy,intensive,111,34,North-West,standard,minimal,weekly,high,42327,84264,22780,247198
poultry,broiler,deep litter,355,70,South-West,basic,intensive,quarterly,medium,20593,32403,12087,263176
poultry,layer,deep litter,248,29,North-West,premium,minimal,quarterly,low,39630,89856,15539,308655
poultry,layer,deep litter,180,15,North-Central,premium,minimal,monthly,low,40165,32820,26242,229392
poultry,broiler,intensive,390,35,North-Central,premium,intensive,quarterly,low,33383,96407,12224,370397
poultry,layer,deep litter,405,29,North-West,premium,standard,weekly,low,41083,93364,10727,388757
cattle,beef,semi-intensive,142,18,North-Central,premium,standard,monthly,medium,44219,54372,14839,228649
cattle,beef,intensive,140,23,South-East,standard,intensive,quarterly,low,35253,72541,24928,237975
poultry,layer,battery cage,74,33,North-West,basic,minimal,monthly,medium,42846,22302,8116,153110
poultry,layer,deep litter,81,15,North-West,premium,minimal,weekly,medium,17547,94439,12644,182677
cattle,beef,intensive,300,30,South-West,premium,intensive,weekly,high,29513,29866,28884,267776
poultry,broiler,deep litter,366,37,North-Central,standard,intensive,quarterly,high,29875,94404,19374,356528
poultry,broiler,intensive,134,70,South-West,standard,standard,quarterly,medium,19813,57717,8271,172614
cattle,dairy,extensive,165,32,South-West,basic,standard,weekly,high,30275,87941,5220,236211
poultry,broiler,battery cage,62,42,South-East,standard,intensive,weekly,medium,27776,44239,27584,158375
cattle,dairy,semi-intensive,124,28,South-West,standard,minimal,quarterly,medium,31114,98025,14582,236835
cattle,beef,intensive,274,36,South-East,premium,minimal,monthly,high,24509,92209,23013,301240
poultry,layer,battery cage,365,59,North-West,basic,standard,monthly,high,47199,80940,5590,363428
cattle,dairy,semi-intensive,369,18,North-West,premium,minimal,monthly,medium,46382,60871,14250,352385
cattle,dairy,semi-intensive,294,26,South-West,premium,minimal,weekly,medium,27111,72754,16675,290651
cattle,dairy,extensive,423,33,North-Central,premium,minimal,quarterly,medium,15134,72262,13967,327997
cattle,beef,intensive,95,26,North-West,premium,minimal,quarterly,high,47095,76837,25047,243574
poultry,broiler,intensive,283,43,South-East,basic,minimal,monthly,low,21045,22431,9073,215094
poultry,layer,battery cage,32,27,North-West,premium,minimal,weekly,high,45261,58005,8776,173303
poultry,broiler,battery cage,162,24,North-Central,basic,standard,monthly,low,49645,88641,8231,277162
cattle,beef,semi-intensive,422,35,South-East,premium,standard,weekly,low,17140,47901,9659,302840
poultry,layer,battery cage,370,61,North-West,basic,standard,weekly,medium,19576,35655,20368,280175
poultry,broiler,intensive,272,65,South-West,premium,minimal,quarterly,low,30809,44593,11071,253282
poultry,broiler,intensive,336,24,North-West,basic,intensive,quarterly,low,44960,37033,25285,320238
cattle,beef,intensive,50,19,North-Central,standard,minimal,weekly,medium,45275,99605,12810,227965
cattle,dairy,intensive,247,28,South-East,standard,standard,quarterly,high,30812,21932,23672,230728
poultry,broiler,battery cage,22,61,North-West,standard,minimal,quarterly,medium,25581,92405,24794,179361
poultry,layer,battery cage,297,10,South-East,premium,intensive,monthly,high,39113,76619,18693,322038
cattle,beef,extensive,499,34,South-West,standard,standard,monthly,low,36099,52582,6097,380377
cattle,beef,extensive,387,24,North-Central,basic,intensive,quarterly,high,16224,10003,20135,256086
poultry,broiler,battery cage,330,58,South-West,basic,standard,monthly,high,44708,47546,10899,312861
cattle,beef,intensive,301,23,South-West,basic,intensive,weekly,high,38845,27964,6462,262616
poultry,broiler,intensive,486,39,North-Central,standard,standard,weekly,high,38247,56374,24397,400265
cattle,dairy,intensive,497,27,South-West,standard,intensive,weekly,medium,24034,90135,20520,407223
poultry,layer,intensive,107,72,North-Central,standard,minimal,quarterly,high,29315,74121,13998,200249
poultry,broiler,deep litter,226,15,North-West,premium,standard,quarterly,medium,45090,91908,23389,318477
poultry,broiler,deep litter,153,72,North-West,standard,standard,monthly,medium,42079,41510,29499,231667
poultry,broiler,deep litter,471,25,North-West,basic,intensive,monthly,medium,42321,59484,5369,384995
poultry,broiler,intensive,396,66,South-West,basic,intensive,monthly,low,44885,86681,11256,385707
poultry,broiler,intensive,268,43,North-Central,premium,minimal,quarterly,low,40486,61846,26653,303471
cattle,dairy,extensive,306,26,South-West,standard,intensive,weekly,high,15251,59744,23599,266845
poultry,layer,intensive,338,75,South-East,premium,standard,monthly,low,34235,59231,26246,322947
poultry,layer,deep litter,308,14,North-West,premium,minimal,weekly,high,50000,16021,14313,284334
poultry,layer,battery cage,124,52,South-West,standard,standard,quarterly,low,23930,37002,11610,158472
cattle,beef,extensive,364,29,North-Central,standard,minimal,weekly,medium,43193,15850,8396,292632
cattle,beef,semi-intensive,322,29,South-East,standard,minimal,monthly,high,28144,36118,15795,269201
poultry,layer,intensive,252,38,South-East,premium,minimal,monthly,high,16687,67720,9084,236178
poultry,broiler,deep litter,28,75,South-West,premium,minimal,quarterly,high,16101,79932,19654,145788
poultry,broiler,intensive,84,51,South-West,standard,standard,quarterly,medium,46898,71379,8927,216102
cattle,dairy,intensive,481,29,South-West,premium,minimal,weekly,medium,34431,39350,17079,365791
cattle,beef,semi-intensive,413,32,North-West,standard,standard,weekly,high,39301,92575,26722,404399
cattle,dairy,intensive,365,35,South-West,premium,intensive,monthly,medium,21232,51761,19937,296662
poultry,broiler,battery cage,372,71,North-Central,standard,standard,weekly,high,20093,98629,10621,335436
poultry,layer,battery cage,418,80,South-West,standard,minimal,weekly,medium,33572,64376,17025,357545
poultry,broiler,battery cage,79,10,South-West,standard,minimal,weekly,high,27307,13218,27126,134458
poultry,broiler,intensive,472,24,South-East,standard,standard,weekly,low,28026,41319,25799,359170
poultry,broiler,deep litter,57,41,North-West,basic,standard,monthly,low,23621,51293,27609,154644
poultry,layer,intensive,15,28,South-East,premium,minimal,quarterly,high,46737,96359,11083,208416
poultry,layer,intensive,265,66,North-West,premium,intensive,monthly,high,42566,32382,26693,276707
cattle,beef,semi-intensive,361,14,South-West,standard,standard,quarterly,low,15006,76746,16184,303442
cattle,beef,semi-intensive,339,21,South-East,premium,intensive,weekly,medium,35170,89090,5918,334848
cattle,dairy,intensive,18,17,South-West,basic,intensive,monthly,high,30198,42891,19072,131359
poultry,layer,battery cage,176,7,North-West,standard,minimal,quarterly,high,27608,26846,10260,180322
cattle,dairy,extensive,88,23,South-West,basic,standard,monthly,high,27708,41041,6046,146503
cattle,dairy,extensive,328,19,North-West,premium,minimal,monthly,high,39796,55895,27811,327298
poultry,broiler,deep litter,146,49,North-West,standard,intensive,weekly,high,27150,56499,10379,194178
cattle,dairy,semi-intensive,213,19,North-Central,basic,minimal,monthly,low,31270,54828,25503,249371
poultry,layer,intensive,167,51,North-West,basic,minimal,weekly,low,20318,58557,29098,211791
cattle,beef,extensive,433,29,South-West,basic,intensive,weekly,high,38713,66086,18950,378962
poultry,broiler,deep litter,48,11,North-West,standard,intensive,monthly,medium,40443,17502,23685,146073
cattle,beef,intensive,482,28,North-West,basic,intensive,quarterly,medium,49607,58038,10678,408930
poultry,broiler,intensive,252,66,North-Central,standard,standard,monthly,low,30861,23576,9354,220652
poultry,layer,intensive,300,65,North-West,premium,standard,quarterly,low,15912,59623,13572,255019
poultry,layer,intensive,122,65,South-West,standard,intensive,quarterly,low,46289,71552,14652,239782
poultry,broiler,battery cage,63,7,South-East,standard,intensive,monthly,high,44409,84264,25690,230272
poultry,broiler,battery cage,417,56,South-East,standard,intensive,monthly,high,19878,85232,20646,354134
poultry,broiler,battery cage,326,61,South-East,premium,intensive,weekly,low,42969,80573,26136,355647
poultry,broiler,deep litter,16,67,South-West,basic,standard,monthly,low,37552,46141,18540,147785
poultry,layer,deep litter,96,26,South-West,basic,standard,monthly,low,19240,97185,24786,208451
poultry,layer,battery cage,418,32,North-West,standard,standard,quarterly,low,29908,65267,29259,363342
cattle,beef,intensive,188,24,South-West,premium,intensive,quarterly,low,47036,73990,25931,287993
cattle,beef,extensive,18,20,South-East,standard,intensive,quarterly,high,45872,89514,16885,207143
cattle,dairy,extensive,202,12,North-Central,standard,standard,quarterly,high,18896,19041,25098,182931
poultry,layer,deep litter,55,38,South-East,basic,minimal,quarterly,low,39544,13428,27167,147183
poultry,layer,battery cage,163,28,South-East,standard,minimal,monthly,low,42951,53261,8647,229310
poultry,broiler,intensive,476,77,South-East,standard,minimal,quarterly,high,22212,46878,27059,356361
cattle,dairy,extensive,77,18,South-East,standard,intensive,weekly,high,17476,36998,27656,138106
cattle,dairy,extensive,408,17,South-East,premium,minimal,weekly,high,31308,59346,28381,354343
poultry,layer,intensive,108,17,North-West,premium,standard,monthly,high,34036,16855,20518,159445
poultry,broiler,intensive,141,49,North-West,standard,intensive,quarterly,low,22061,58968,11460,185050
poultry,broiler,battery cage,100,28,North-West,basic,standard,monthly,high,33751,95094,10571,223167
poultry,layer,deep litter,389,39,North-Central,premium,minimal,monthly,medium,42128,77069,24161,379986
cattle,dairy,semi-intensive,409,14,South-East,standard,minimal,monthly,low,33575,55010,20120,346780
cattle,dairy,extensive,251,24,South-East,standard,intensive,quarterly,low,16811,51136,18197,228455
poultry,broiler,battery cage,231,61,North-Central,premium,intensive,monthly,high,27731,27213,11611,209786
cattle,dairy,semi-intensive,109,21,North-West,basic,standard,weekly,medium,44252,54900,25347,223251
cattle,dairy,semi-intensive,396,26,North-Central,standard,standard,monthly,high,41518,57230,8202,346468
poultry,broiler,battery cage,461,79,South-East,basic,intensive,quarterly,low,35990,17790,16370,336640
cattle,beef,extensive,233,35,North-Central,basic,minimal,monthly,medium,24358,14237,21035,200488
cattle,dairy,intensive,207,12,North-West,premium,minimal,monthly,low,33115,28224,9465,207419
cattle,dairy,semi-intensive,257,26,South-East,premium,standard,quarterly,high,49578,21833,26767,276256
cattle,beef,semi-intensive,461,23,North-Central,premium,minimal,monthly,low,42804,40132,18512,374752
cattle,dairy,intensive,276,18,South-East,basic,intensive,monthly,high,31100,38537,17118,255855
poultry,broiler,battery cage,120,37,South-West,standard,standard,quarterly,medium,37764,26805,19952,182285
poultry,layer,battery cage,220,30,North-Central,basic,minimal,quarterly,low,49979,88418,11289,309665
poultry,layer,battery cage,451,25,North-Central,standard,intensive,monthly,low,38867,74736,20703,398673
cattle,dairy,intensive,119,23,North-West,premium,intensive,quarterly,high,41149,47780,12867,202445
poultry,layer,intensive,41,27,South-East,premium,standard,weekly,high,16223,88048,10422,151416
poultry,layer,intensive,64,24,South-West,standard,minimal,monthly,medium,19694,84669,29489,185546
poultry,layer,intensive,413,23,South-East,basic,minimal,monthly,low,24930,70742,13390,340492
poultry,broiler,battery cage,303,33,South-West,premium,standard,monthly,high,24838,15604,18602,235382
cattle,dairy,semi-intensive,111,33,North-Central,standard,standard,weekly,low,18115,11371,19278,122379
poultry,broiler,battery cage,303,16,South-East,premium,minimal,quarterly,high,19491,60074,6634,257190
poultry,broiler,intensive,322,19,South-West,basic,minimal,quarterly,high,41413,87457,11074,342357
cattle,beef,semi-intensive,26,22,South-East,basic,standard,monthly,low,47401,40948,13935,162685
cattle,beef,intensive,282,36,South-East,premium,intensive,monthly,high,15819,35372,18080,226090
poultry,layer,battery cage,416,73,South-East,premium,standard,quarterly,low,16662,19084,7694,268102
cattle,dairy,semi-intensive,250,18,South-East,premium,minimal,quarterly,low,49747,69364,13783,307641
cattle,dairy,semi-intensive,344,17,North-West,standard,intensive,weekly,high,22067,19913,13373,249420
cattle,dairy,extensive,483,24,North-West,premium,standard,monthly,medium,25617,74839,7561,375134
poultry,broiler,intensive,422,13,South-West,premium,minimal,weekly,medium,30187,46977,23076,341427
poultry,broiler,battery cage,38,54,South-West,premium,standard,weekly,high,22442,30593,13723,108200
poultry,broiler,battery cage,181,50,South-West,basic,standard,quarterly,low,20896,20600,12569,165461
poultry,broiler,intensive,137,28,South-West,basic,minimal,weekly,medium,44021,28179,19813,204534
poultry,broiler,deep litter,254,23,North-Central,standard,standard,quarterly,medium,46460,38915,16470,275305
cattle,dairy,extensive,385,35,South-East,basic,standard,quarterly,medium,42696,77825,11982,367699
poultry,broiler,deep litter,101,21,South-East,premium,standard,quarterly,low,29600,89652,11363,210715
cattle,beef,intensive,230,15,North-Central,premium,intensive,monthly,high,32285,97780,27308,304658
cattle,beef,extensive,351,30,South-East,basic,intensive,monthly,medium,43122,50690,10584,323018
poultry,broiler,battery cage,240,46,North-Central,standard,standard,monthly,high,31551,56416,7386,246904
poultry,broiler,battery cage,236,58,South-West,standard,standard,monthly,low,19061,50252,8095,214469
cattle,beef,intensive,209,36,South-East,premium,minimal,monthly,medium,30423,61006,11686,238038
poultry,layer,battery cage,100,74,North-Central,basic,intensive,weekly,high,45665,11858,13082,166270
cattle,dairy,semi-intensive,49,30,North-Central,premium,intensive,monthly,low,45711,40902,9497,166321
poultry,layer,intensive,140,37,South-West,basic,minimal,weekly,medium,25330,31936,15228,167824
cattle,dairy,semi-intensive,278,30,South-West,basic,intensive,weekly,high,32954,56425,25125,286458
cattle,dairy,intensive,162,29,North-Central,premium,standard,weekly,low,42143,87310,15834,268430
cattle,beef,semi-intensive,187,16,South-West,basic,intensive,quarterly,medium,41500,64483,23912,264895
poultry,broiler,battery cage,405,42,North-West,premium,intensive,quarterly,high,31703,25628,17647,309181
cattle,beef,semi-intensive,12,25,South-East,basic,standard,quarterly,high,27486,64503,19396,144871
cattle,dairy,semi-intensive,297,29,South-East,standard,minimal,quarterly,medium,40000,58686,18147,305333
cattle,beef,extensive,57,25,North-Central,standard,minimal,weekly,medium,46856,54662,18627,195501
poultry,layer,deep litter,206,31,North-Central,premium,standard,quarterly,low,47053,74562,28249,299917
cattle,beef,extensive,299,21,North-West,premium,intensive,monthly,medium,49275,60594,28498,337142
poultry,layer,deep litter,284,55,South-West,basic,minimal,weekly,high,48055,56634,21022,315766
poultry,layer,intensive,457,72,South-East,standard,intensive,monthly,high,34661,67553,17923,383298
cattle,beef,semi-intensive,220,19,North-Central,premium,intensive,quarterly,low,22898,47659,27250,230705
poultry,layer,intensive,430,76,North-West,standard,standard,monthly,high,47105,28970,22060,360240
poultry,broiler,deep litter,194,74,North-Central,basic,standard,weekly,high,47762,41119,17515,251158
cattle,beef,extensive,47,12,South-East,basic,intensive,quarterly,medium,37389,68588,29677,196543
cattle,dairy,intensive,213,18,South-West,standard,standard,monthly,medium,22565,39950,18479,210059
cattle,beef,extensive,56,15,South-East,basic,minimal,monthly,high,16599,25311,8521,95030
poultry,layer,intensive,10,44,North-Central,premium,standard,quarterly,medium,24680,24254,19177,97791
cattle,beef,semi-intensive,299,20,North-West,premium,standard,monthly,medium,46439,82365,11741,336484
cattle,dairy,intensive,304,34,South-East,premium,intensive,quarterly,low,33801,74214,8097,301913
cattle,beef,semi-intensive,64,12,South-East,basic,minimal,quarterly,low,16046,22524,9867,96483
poultry,layer,battery cage,247,50,South-West,standard,standard,quarterly,low,20355,68646,24879,257735
poultry,broiler,battery cage,145,49,South-West,basic,minimal,quarterly,low,24827,27593,19137,168884
cattle,dairy,extensive,412,22,North-West,standard,intensive,weekly,medium,39141,65761,29781,379824
poultry,layer,intensive,213,13,North-West,basic,minimal,weekly,low,32977,53872,29280,255606
poultry,layer,deep litter,63,21,North-West,premium,intensive,weekly,low,46278,90108,21655,235819
poultry,layer,intensive,409,43,South-West,standard,standard,monthly,low,36389,85877,15716,378871
cattle,beef,semi-intensive,187,28,North-Central,standard,standard,weekly,high,38477,98808,25866,295128
poultry,layer,battery cage,41,72,North-Central,standard,intensive,weekly,medium,45132,89076,6253,206093
poultry,broiler,battery cage,419,62,South-West,standard,minimal,weekly,low,19698,74926,10032,333854
poultry,broiler,deep litter,20,63,South-East,standard,intensive,weekly,high,39489,28273,21192,138443
poultry,broiler,intensive,207,21,North-Central,basic,intensive,weekly,high,18257,19265,24947,184226
poultry,layer,deep litter,367,11,South-East,premium,intensive,quarterly,low,29565,41507,12843,296980
poultry,broiler,deep litter,462,11,South-East,basic,standard,quarterly,low,44014,37121,5943,362092
cattle,beef,semi-intensive,146,14,North-West,basic,intensive,weekly,high,38320,54222,21834,225696
poultry,layer,intensive,231,37,South-West,standard,minimal,quarterly,low,25018,35047,8892,209475
cattle,beef,extensive,255,29,North-West,basic,intensive,monthly,medium,20699,97150,29310,295358
cattle,beef,extensive,36,35,North-West,premium,standard,weekly,high,35110,11942,12987,113149
poultry,layer,battery cage,496,6,North-Central,basic,standard,weekly,low,19723,72946,20767,381159
poultry,broiler,deep litter,263,19,South-West,standard,standard,weekly,low,44136,22893,12232,254897
cattle,dairy,extensive,411,36,South-West,standard,minimal,weekly,low,36006,20245,14056,311813
poultry,broiler,battery cage,226,69,South-West,standard,standard,weekly,low,28153,12762,21582,203650
poultry,layer,deep litter,257,69,South-West,basic,intensive,weekly,medium,16642,93271,22588,277643
poultry,broiler,intensive,91,65,South-West,premium,minimal,quarterly,low,25833,85308,6210,188684
poultry,layer,intensive,15,76,North-Central,basic,standard,monthly,high,45990,38359,18277,156116
cattle,dairy,intensive,108,19,North-Central,standard,minimal,quarterly,medium,33534,46597,21729,189394
poultry,broiler,intensive,441,72,North-Central,basic,intensive,monthly,medium,41104,54698,21839,379245
cattle,beef,intensive,469,33,North-Central,standard,minimal,monthly,low,40759,31240,17537,364795
poultry,layer,deep litter,378,21,North-West,standard,intensive,monthly,high,42027,12427,8335,293816
cattle,beef,semi-intensive,438,14,North-Central,premium,standard,monthly,low,34191,29544,6405,323331
cattle,beef,intensive,205,27,South-East,premium,standard,weekly,medium,16264,52110,28844,215982
poultry,layer,deep litter,165,13,North-Central,basic,intensive,weekly,medium,34349,65962,20573,237733
cattle,dairy,extensive,237,29,North-Central,basic,minimal,weekly,low,20003,11749,10124,180379
poultry,broiler,battery cage,218,52,North-West,basic,intensive,weekly,high,25462,11451,26540,197915
cattle,dairy,semi-intensive,98,32,North-West,premium,standard,weekly,medium,46811,22470,27744,192836
cattle,beef,extensive,170,28,South-East,basic,standard,monthly,low,16391,23877,21553,163212
poultry,layer,battery cage,357,75,North-Central,standard,minimal,weekly,low,24206,21867,23671,272450
cattle,dairy,semi-intensive,27,36,North-Central,standard,minimal,quarterly,low,41168,88171,15416,199423
cattle,dairy,extensive,67,35,South-East,standard,minimal,monthly,medium,25247,88122,24848,196964
cattle,dairy,intensive,174,18,North-Central,standard,standard,quarterly,low,25120,29868,13952,181060
cattle,beef,intensive,59,31,North-West,basic,standard,weekly,medium,31485,67881,27202,187553
cattle,dairy,intensive,225,35,South-East,basic,standard,monthly,low,48625,79428,5966,295144
cattle,dairy,semi-intensive,465,28,North-Central,basic,minimal,weekly,high,44707,46559,27516,395989
poultry,broiler,deep litter,431,26,North-West,premium,minimal,weekly,medium,27853,22048,12542,305796
poultry,layer,intensive,90,6,North-West,basic,intensive,monthly,low,42402,69801,28950,228555
poultry,broiler,deep litter,375,22,North-Central,premium,standard,weekly,high,45508,66514,18803,363833
cattle,dairy,intensive,83,28,South-West,premium,minimal,quarterly,medium,40978,14084,13859,151399
poultry,layer,intensive,150,52,North-West,basic,minimal,weekly,medium,44690,40629,24232,229241
poultry,broiler,battery cage,236,75,North-Central,standard,minimal,quarterly,high,26662,72526,18748,262598
poultry,layer,deep litter,418,40,North-West,standard,minimal,weekly,low,33983,53799,7934,338699
poultry,layer,battery cage,335,71,South-East,premium,minimal,weekly,medium,15286,26695,19891,244658
poultry,broiler,intensive,416,68,North-West,basic,intensive,quarterly,high,46049,22978,13889,336965
poultry,layer,deep litter,400,15,South-West,basic,minimal,quarterly,high,42075,78788,9374,372312
cattle,dairy,semi-intensive,186,36,South-West,basic,standard,weekly,high,30682,67111,23868,245343
poultry,broiler,battery cage,199,16,North-Central,standard,standard,quarterly,medium,28824,92763,12345,262256
cattle,beef,intensive,475,16,South-West,standard,minimal,monthly,high,34510,81576,23187,411283
cattle,beef,semi-intensive,57,14,South-West,basic,intensive,quarterly,high,28441,69331,18667,173380
poultry,layer,intensive,117,39,South-West,standard,intensive,quarterly,low,33458,48007,29065,202488
poultry,broiler,intensive,142,43,North-Central,standard,minimal,monthly,high,27441,70427,23280,219589
poultry,layer,deep litter,10,9,South-West,basic,minimal,monthly,low,45181,43632,7343,146337
cattle,beef,intensive,393,26,North-West,basic,minimal,weekly,high,33888,54967,28438,347681
poultry,layer,intensive,331,76,South-East,standard,standard,quarterly,low,46585,21406,20451,300527
poultry,broiler,deep litter,68,12,North-West,basic,standard,quarterly,medium,29819,54601,14312,162551
poultry,broiler,deep litter,446,65,South-West,premium,standard,quarterly,low,30895,90605,13179,388574
poultry,broiler,deep litter,161,7,North-Central,standard,minimal,weekly,medium,33380,39895,7138,194293
poultry,layer,battery cage,465,67,South-West,premium,intensive,quarterly,low,18820,36910,9296,316346
poultry,broiler,deep litter,432,44,South-West,premium,minimal,monthly,high,42811,70171,10451,382244
cattle,beef,intensive,134,19,North-West,standard,minimal,weekly,low,45294,49916,5502,213006
cattle,dairy,extensive,298,28,South-West,premium,intensive,weekly,high,25142,18522,18066,235872
poultry,broiler,battery cage,125,52,South-East,premium,intensive,quarterly,low,33631,40792,12737,183291
poultry,broiler,intensive,457,21,South-West,standard,intensive,weekly,low,21738,25517,19149,316642
cattle,dairy,semi-intensive,482,30,South-East,premium,minimal,quarterly,high,42419,98524,16208,440570
cattle,beef,extensive,455,36,South-West,premium,standard,weekly,high,46927,52807,24306,398467
cattle,beef,semi-intensive,158,24,South-West,basic,minimal,weekly,high,25528,81425,13496,224977
poultry,broiler,intensive,220,26,North-Central,standard,intensive,weekly,high,42600,82142,22791,300133
cattle,dairy,intensive,438,16,South-West,standard,standard,weekly,medium,40114,98706,13452,411386
poultry,broiler,battery cage,389,43,South-West,standard,standard,weekly,high,49279,84572,20618,398248
poultry,broiler,intensive,106,14,South-East,premium,standard,weekly,high,33217,28299,14712,162445
cattle,dairy,extensive,190,16,South-East,basic,standard,monthly,low,24321,25237,17919,186798
poultry,broiler,intensive,446,23,South-West,premium,minimal,quarterly,medium,19683,95438,6047,363851
poultry,broiler,intensive,333,60,South-East,standard,standard,weekly,medium,32134,30540,20667,281975
